iter	Passed	Remaining
0	4	4262
1	5	2873
2	7	2340
3	8	2079
4	11	2260
5	12	2121
6	14	1998
7	15	1958
8	18	2004
9	19	1933
10	20	1872
11	22	1832
12	23	1784
13	24	1742
14	27	1834
15	30	1859
16	34	1992
17	37	2049
18	38	2012
19	40	1970
20	41	1934
21	45	2001
22	46	1984
23	48	1956
24	51	1995
25	52	1970
26	53	1942
27	56	1944
28	57	1926
29	58	1902
30	60	1891
31	67	2032
32	69	2029
33	71	2030
34	72	2011
35	74	1991
36	76	1989
37	78	1995
38	80	1977
39	82	1990
40	84	1985
41	86	1966
42	87	1946
43	90	1958
44	92	1952
45	93	1939
46	94	1922
47	97	1936
48	99	1923
49	100	1907
50	101	1890
51	104	1906
52	106	1911
53	109	1926
54	111	1913
55	112	1900
56	116	1930
57	119	1933
58	120	1922
59	121	1908
60	125	1924
61	126	1912
62	128	1910
63	130	1910
64	134	1940
65	139	1969
66	141	1973
67	145	1994
68	147	1988
69	153	2040
70	154	2028
71	158	2046
72	160	2041
73	164	2061
74	167	2060
75	168	2050
76	172	2072
77	174	2066
78	178	2082
79	181	2084
80	185	2105
81	186	2089
82	188	2077
83	191	2090
84	193	2078
85	195	2075
86	199	2092
87	201	2089
88	205	2101
89	207	2101
90	211	2110
91	213	2102
92	215	2097
93	218	2109
94	221	2107
95	225	2126
96	229	2132
97	232	2137
98	234	2135
99	238	2147
100	241	2147
101	242	2137
102	245	2133
103	246	2123
104	248	2118
105	250	2113
106	251	2103
107	253	2092
108	255	2090
109	257	2082
110	258	2072
111	260	2061
112	262	2060
113	264	2052
114	265	2042
115	267	2041
116	271	2046
117	273	2044
118	276	2047
119	278	2039
120	279	2030
121	280	2020
122	283	2022
123	285	2013
124	286	2004
125	288	2001
126	291	2003
127	292	1995
128	294	1989
129	297	1992
130	299	1986
131	301	1983
132	303	1979
133	304	1970
134	306	1962
135	308	1961
136	310	1954
137	311	1946
138	315	1954
139	317	1951
140	319	1947
141	322	1946
142	324	1942
143	325	1935
144	326	1927
145	330	1935
146	336	1952
147	338	1948
148	340	1943
149	343	1947
150	345	1940
151	346	1932
152	348	1931
153	353	1940
154	356	1945
155	359	1942
156	360	1935
157	363	1937
158	365	1930
159	366	1923
160	367	1915
161	370	1916
162	371	1909
163	373	1901
164	381	1932
165	384	1929
166	385	1922
167	386	1915
168	388	1912
169	390	1906
170	392	1900
171	393	1895
172	396	1897
173	398	1890
174	399	1883
175	400	1877
176	403	1876
177	405	1870
178	406	1863
179	407	1856
180	410	1856
181	411	1850
182	413	1847
183	416	1847
184	418	1842
185	419	1836
186	420	1830
187	424	1831
188	426	1829
189	427	1822
190	430	1824
191	432	1821
192	436	1825
193	438	1819
194	439	1813
195	440	1808
196	444	1809
197	445	1804
198	446	1797
199	447	1791
200	450	1789
201	452	1786
202	453	1781
203	456	1781
204	458	1777
205	459	1772
206	461	1766
207	463	1766
208	465	1760
209	471	1774
210	474	1774
211	479	1782
212	483	1787
213	488	1793
214	490	1791
215	495	1798
216	498	1799
217	505	1813
218	510	1819
219	515	1827
220	522	1841
221	525	1840
222	529	1845
223	532	1845
224	546	1882
225	560	1918
226	574	1956
227	577	1955
228	582	1962
229	598	2004
230	624	2078
231	626	2073
232	632	2080
233	637	2085
234	644	2097
235	647	2095
236	648	2088
237	664	2128
238	666	2121
239	667	2114
240	669	2107
241	681	2135
242	685	2135
243	687	2128
244	688	2122
245	693	2127
246	698	2130
247	703	2133
248	705	2128
249	707	2122
250	711	2121
251	713	2118
252	716	2116
253	718	2109
254	719	2101
255	721	2097
256	723	2092
257	726	2090
258	731	2092
259	732	2085
260	734	2078
261	737	2077
262	739	2072
263	741	2066
264	743	2061
265	744	2055
266	746	2049
267	749	2046
268	750	2040
269	752	2033
270	753	2026
271	755	2022
272	757	2016
273	759	2011
274	760	2004
275	763	2003
276	765	1996
277	766	1990
278	769	1989
279	771	1983
280	772	1977
281	775	1975
282	777	1969
283	778	1963
284	780	1957
285	782	1953
286	784	1948
287	785	1942
288	786	1936
289	789	1933
290	791	1927
291	792	1921
292	793	1915
293	796	1913
294	798	1908
295	799	1901
296	801	1896
297	804	1895
298	805	1889
299	807	1883
300	810	1881
301	811	1875
302	812	1869
